"No.","Time","Source","Destination","Protocol","Length","Info"
"115","1.264353459","192.168.100.13","192.168.100.10","TCP","66","49928  >  8888 [FIN, ACK] Seq=200 Ack=1 Win=64256 Len=0 TSval=1725358611 TSecr=2451794718"
"116","1.264388261","192.168.100.10","192.168.100.13","TCP","66","8888  >  49928 [ACK] Seq=1 Ack=200 Win=65024 Len=0 TSval=2451794721 TSecr=1725358611"
"117","1.264666059","192.168.100.10","192.168.100.13","TCP","66","8888  >  49928 [FIN, ACK] Seq=1 Ack=201 Win=65024 Len=0 TSval=2451794721 TSecr=1725358611"
"118","1.265034668","192.168.100.13","192.168.100.10","TCP","66","49928  >  8888 [ACK] Seq=201 Ack=2 Win=64256 Len=0 TSval=1725358612 TSecr=2451794721"
"119","1.529392069","192.168.100.13","192.168.100.10","TCP","74","43552  >  7777 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1725358876 TSecr=0 WS=128"
"120","1.529416009","192.168.100.10","192.168.100.13","TCP","74","7777  >  43552 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2451794986 TSecr=1725358876 WS=512"
"121","1.529632671","192.168.100.13","192.168.100.10","TCP","66","43552  >  7777 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1725358876 TSecr=2451794986"
"122","1.531025747","192.168.100.13","192.168.100.10","TCP","90","43552  >  7777 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=24 TSval=1725358878 TSecr=2451794986"
"123","1.531025861","192.168.100.13","192.168.100.10","TCP","66","43552  >  7777 [FIN, ACK] Seq=25 Ack=1 Win=64256 Len=0 TSval=1725358878 TSecr=2451794986"
"124","1.531043187","192.168.100.10","192.168.100.13","TCP","66","7777  >  43552 [ACK] Seq=1 Ack=25 Win=65536 Len=0 TSval=2451794988 TSecr=1725358878"
"125","1.531160778","192.168.100.10","192.168.100.13","TCP","74","7777  >  43552 [PSH, ACK] Seq=1 Ack=26 Win=65536 Len=8 TSval=2451794988 TSecr=1725358878"
"126","1.531242528","192.168.100.10","192.168.100.13","TCP","66","7777  >  43552 [FIN, ACK] Seq=9 Ack=26 Win=65536 Len=0 TSval=2451794988 TSecr=1725358878"
"127","1.531527936","192.168.100.13","192.168.100.10","TCP","66","43552  >  7777 [ACK] Seq=26 Ack=9 Win=64256 Len=0 TSval=1725358878 TSecr=2451794988"
"128","1.531528050","192.168.100.13","192.168.100.10","TCP","66","43552  >  7777 [ACK] Seq=26 Ack=10 Win=64256 Len=0 TSval=1725358878 TSecr=2451794988"
"129","2.262203390","192.168.100.12","192.168.100.10","TCP","74","36570  >  7777 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=412255458 TSecr=0 WS=128"
"130","2.262527549","192.168.100.10","192.168.100.12","TCP","74","7777  >  36570 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4011348264 TSecr=412255458 WS=512"
"131","2.264027588","192.168.100.12","192.168.100.10","TCP","66","36570  >  7777 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=412255460 TSecr=4011348264"
"132","2.264232143","192.168.100.12","192.168.100.10","TCP","90","36570  >  7777 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=24 TSval=412255460 TSecr=4011348264"
